Unnamed: 0,Length,SentCount,Start,VerbRatio,NounRatio,ContentRatio,Redundancy,IDF,TTR,Entropy,ICR,ParentOverlap,MethodOverlap,RepoOverlap,PathOverlap,CodeOverlap,SemanticSim
0,7,1,VERB,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.0346441455185413,4.884181540339006,1.0,2.807354922057604,5.142857142857143,0.0,0.1428571428367347,0.0,0.0,0.4285714285102041,0.5523457715798831
1,9,1,VERB,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0814413577318191,5.15190535232361,1.0,3.169925001442312,5.777777777777778,0.0,0.0,0.0,0.0,0.5555555554938272,0.6887255684936885
2,7,1,VERB,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.1214395239949226,4.050513506090113,1.0,2.807354922057604,7.142857142857143,0.0,0.2857142856734694,0.0,0.0,0.2857142856734694,0.7171529354007896
3,8,1,VERB,0.125,0.375,0.625,0.1003333330154419,4.2572925479675225,1.0,3.0,7.25,0.0,0.374999999953125,0.0,0.0,0.374999999953125,0.741254537062763
4,7,1,VERB,0.1428571428571428,0.2857142857142857,0.5714285714285714,0.1208341345191001,4.286201415192285,1.0,2.807354922057604,3.142857142857143,0.0,0.2857142856734694,0.0,0.0,0.2857142856734694,0.7128924559621298
5,13,1,VERB,0.0769230769230769,0.2307692307692307,0.4615384615384615,0.046469684690237,4.5184771356470055,0.9230769230769232,3.5465935642949384,1.7692307692307692,0.0,0.2499999999791666,0.0,0.0,0.5833333332847223,0.8249316865579095
6,13,1,VERB,0.1538461538461538,0.3846153846153846,0.6153846153846154,0.1109053641557693,5.792955461750122,0.8461538461538461,3.3927474104487847,3.3846153846153846,0.0,0.0909090909008264,0.0,0.0,0.3636363636033057,0.6489395439402114
7,7,4,NUM,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.1967120468616485,6.035239968549122,0.8571428571428571,2.5216406363433186,7.285714285714286,0.0,0.3333333332777777,0.0,0.0,0.3333333332777777,0.4552023629106385
8,11,2,VERB,0.0909090909090909,0.4545454545454545,0.6363636363636364,0.0542123652994632,6.814526328256895,1.0,3.459431618637298,2.090909090909091,0.0,0.1818181818016528,0.0,0.0,0.2727272727024793,0.6617914381945805
9,7,4,NUM,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.2064334005117416,6.554101194812157,0.8571428571428571,2.5216406363433186,6.285714285714286,0.0,0.3333333332777777,0.0,0.0,0.3333333332777777,0.5887400024389678
10,4,1,NOUN,0.25,0.75,1.0,0.1318178921937942,6.952925856144406,1.0,2.0,4.75,0.0,0.0,0.0,0.0,0.7499999998125,0.1817057262399279
11,6,1,VERB,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1158863008022308,6.898045784735991,1.0,2.584962500721156,2.1666666666666665,0.0,0.1666666666388888,0.0,0.0,0.1666666666388888,0.435650907343892
12,8,4,NUM,0.0,0.25,0.375,0.2420611679553985,5.999952315339629,1.0,3.0,4.0,0.0,0.124999999984375,0.0,0.0,0.24999999996875,0.3798922589823998
13,9,1,VERB,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2192437648773193,4.442160612922962,0.8888888888888888,2.94770277922009,2.7777777777777777,0.0,0.24999999996875,0.0,0.124999999984375,0.24999999996875,0.6843206763467854
14,8,1,VERB,0.25,0.25,0.625,0.126242533326149,4.924766312031752,1.0,3.0,6.25,0.0,0.24999999996875,0.0,0.124999999984375,0.24999999996875,0.5661909186939579
15,9,1,VERB,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2378028929233551,4.556536224217226,0.8888888888888888,2.94770277922009,1.5555555555555556,0.0,0.24999999996875,0.0,0.124999999984375,0.24999999996875,0.6504742548310116
16,8,1,VERB,0.25,0.25,0.625,0.138456180691719,4.944499173190183,1.0,3.0,5.25,0.0,0.24999999996875,0.0,0.124999999984375,0.24999999996875,0.5572237820847017
17,11,1,VERB,0.1818181818181818,0.4545454545454545,0.6363636363636364,0.1753864139318466,4.823188223898181,1.0,3.459431618637298,2.4545454545454546,0.0,0.1818181818016528,0.0,0.0,0.2727272727024793,0.5078139558588065
18,10,1,VERB,0.1,0.6,0.7,0.1914737671613693,4.777022220882775,1.0,3.321928094887362,3.8,0.0,0.19999999998,0.0,0.0,0.39999999996,0.5614327680754742
19,4,1,VERB,0.25,0.25,0.75,0.0439064688980579,6.31205752046641,1.0,2.0,13.25,0.0,0.2499999999375,0.0,0.0,0.499999999875,0.7565330104727858
20,4,1,VERB,0.0,0.5,0.75,0.0343753024935722,6.686474010424297,1.0,2.0,9.75,0.0,0.2499999999375,0.0,0.0,0.499999999875,0.6745845415445666
21,3,1,VERB,0.0,1.0,1.0,0.2428164482116699,5.483442037351954,1.0,1.584962500721156,6.333333333333333,0.0,0.3333333332222222,0.0,0.0,0.9999999996666666,0.6928815046794005
22,3,1,NOUN,0.0,1.0,1.0,0.2080099731683731,5.649871632611297,1.0,1.584962500721156,16.666666666666668,0.0,0.6666666664444444,0.0,0.0,0.9999999996666666,0.5967024423290062
23,3,1,NOUN,0.0,1.0,1.0,0.1936159133911132,5.451997734125331,1.0,1.584962500721156,16.666666666666668,0.0,0.6666666664444444,0.0,0.0,0.9999999996666666,0.6468281582455132
24,9,1,VERB,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1603160351514816,4.7458069831207865,1.0,3.169925001442312,2.2222222222222223,0.0,0.1111111110987654,0.0,0.0,0.2222222221975308,0.6469544602678233
25,11,1,VERB,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.1168616488575935,5.235393389490806,1.0,3.459431618637298,1.9090909090909087,0.0,0.0909090909008264,0.0,0.0,0.2727272727024793,0.6000314439547346
27,32,2,VERB,0.1875,0.28125,0.53125,0.1466104984283447,5.804828595424101,0.75,4.476409765557392,0.625,0.0,0.0416666666649305,0.0,0.0,0.1666666666597222,0.4487608721888754
28,27,3,VERB,0.1481481481481481,0.3703703703703703,0.5185185185185185,0.1749924570322036,4.936063758044924,0.7777777777777778,4.236368983644952,0.3703703703703703,0.0952380952335601,0.0952380952335601,0.0,0.0,0.1428571428503401,0.563508183360922
29,5,1,VERB,0.4,0.2,0.6,-0.0585828572511673,5.110251327881906,1.0,2.321928094887362,3.2,0.0,0.19999999996,0.0,0.0,0.39999999992,0.7049213299927517
30,7,1,VERB,0.4285714285714285,0.1428571428571428,0.5714285714285714,0.1914725303649902,5.328261835958526,1.0,2.807354922057604,2.142857142857143,0.0,0.1428571428367347,0.0,0.0,0.4285714285102041,0.6663841653928804
31,3,1,VERB,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1085867211222648,7.125646416003157,1.0,1.584962500721156,5.0,0.0,0.3333333332222222,0.0,0.0,0.3333333332222222,0.6628487879532078
32,8,1,VERB,0.125,0.5,0.625,0.2510035037994385,5.44802945238763,1.0,3.0,2.375,0.0,0.0,0.0,0.0,0.124999999984375,0.3010386512929768
33,12,1,DET,0.0833333333333333,0.5,0.6666666666666666,0.1647755354642868,5.0563442309437,0.9166666666666666,3.418295834054489,2.75,0.0,0.0909090909008264,0.0,0.0,0.2727272727024793,0.4677763977200681
34,11,1,VERB,0.2727272727272727,0.4545454545454545,0.7272727272727273,0.1412199437618255,5.230298414369728,0.9090909090909092,3.2776134368191165,1.0,0.0,0.19999999998,0.0,0.0,0.39999999996,0.6654498736936882
35,9,1,VERB,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.2359514683485031,5.256695563648254,1.0,3.169925001442312,3.0,0.0,0.1111111110987654,0.0,0.0,0.3333333332962963,0.6111443120179085
36,9,2,VERB,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.0745341330766677,5.534002838624781,1.0,3.169925001442312,1.7777777777777777,0.0,0.1111111110987654,0.0,0.0,0.2222222221975308,0.6608198712464529
37,6,1,VERB,0.0,0.6666666666666666,0.6666666666666666,0.1856996268033981,4.858265132930122,1.0,2.584962500721156,2.6666666666666665,0.0,0.1666666666388888,0.0,0.0,0.3333333332777777,0.6769173308043722
38,20,7,NOUN,0.05,0.5,0.55,0.2511823773384094,6.938480362743765,0.85,4.021928094887362,2.6,0.0,0.0,0.0588235294083045,0.0588235294083045,0.0588235294083045,0.5381125009018589
39,10,1,VERB,0.2,0.3,0.5,0.0910409465432167,4.187441263102937,1.0,3.321928094887362,1.7,0.0,0.19999999998,0.0,0.0,0.39999999996,0.7255362520085685
40,4,1,VERB,0.0,0.75,0.75,0.0731064602732658,7.417635861614827,1.0,2.0,4.75,0.0,0.0,0.0,0.0,0.2499999999375,0.580752824290187
41,10,1,VERB,0.0,0.4,0.4,0.2762369811534881,3.759714108344054,0.8,2.9219280948873623,1.5,0.124999999984375,0.124999999984375,0.0,0.0,0.24999999996875,0.6986854381510631
42,6,1,VERB,0.1666666666666666,0.3333333333333333,0.5,0.2626671493053436,5.032615761069881,0.8333333333333334,2.2516291673878226,2.1666666666666665,0.19999999996,0.0,0.0,0.0,0.39999999992,0.7205565634030484
43,6,1,VERB,0.0,0.5,0.5,0.2410331517457962,5.299801593468598,0.8333333333333334,2.2516291673878226,3.6666666666666665,0.19999999996,0.0,0.0,0.0,0.39999999992,0.7501886851040891
44,10,1,VERB,0.2,0.3,0.5,0.0906227529048919,5.617495015589876,1.0,3.321928094887362,2.2,0.0,0.0,0.0,0.0,0.29999999997,0.7400032724406449
45,16,2,VERB,0.125,0.1875,0.5,0.0887586250901222,4.769568696873713,0.9375,3.875,1.3125,0.0666666666622222,0.0,0.0,0.0,0.3999999999733333,0.6671605214437556
46,4,1,VERB,0.25,0.5,0.75,0.068629965186119,5.428295331676392,1.0,2.0,5.75,0.0,0.499999999875,0.0,0.0,0.7499999998125,0.7564009494796744
47,8,1,VERB,0.375,0.375,0.75,0.1319879293441772,4.8935752219882005,1.0,3.0,2.125,0.124999999984375,0.374999999953125,0.0,0.124999999984375,0.374999999953125,0.7054172912726239
48,6,1,VERB,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.0945147797465324,5.972134922889455,1.0,2.584962500721156,2.6666666666666665,0.0,0.3333333332777777,0.0,0.1666666666388888,0.4999999999166666,0.6908901602127593
49,7,1,VERB,0.2857142857142857,0.4285714285714285,0.7142857142857143,0.1187820583581924,5.860807704139026,1.0,2.807354922057604,3.571428571428572,0.0,0.0,0.1428571428367347,0.2857142856734694,0.2857142856734694,0.5757069761756302
50,32,3,VERB,0.21875,0.3125,0.5625,0.136530727148056,5.115001370067345,0.71875,4.366729296672174,1.4375,0.0,0.0,0.0,0.0,0.304347826073724,0.3977023156948387
51,4,1,VERB,0.25,0.5,0.75,0.0561094731092453,5.572045196377001,1.0,2.0,8.5,0.0,0.0,0.0,0.0,0.2499999999375,0.6728284357381716
52,5,1,VERB,0.2,0.4,0.6,0.0455286316573619,6.548769833497282,1.0,2.321928094887362,5.8,0.39999999992,0.19999999996,0.0,0.0,0.59999999988,0.7466943581917014
53,4,1,VERB,0.25,0.5,0.75,0.1041461005806922,6.260086324424058,1.0,2.0,8.25,0.499999999875,0.2499999999375,0.0,0.0,0.7499999998125,0.5905303450859775
54,8,1,VERB,0.125,0.5,0.625,0.0789359360933303,6.472097321684144,1.0,3.0,2.0,0.0,0.124999999984375,0.0,0.0,0.124999999984375,0.4660489240299512
55,6,1,VERB,0.1666666666666666,0.5,0.6666666666666666,0.0695272907614708,6.605279177760732,1.0,2.584962500721156,4.666666666666667,0.0,0.1666666666388888,0.0,0.0,0.3333333332777777,0.6800591098588684
56,7,1,VERB,0.1428571428571428,0.5714285714285714,0.7142857142857143,0.2401270419359207,7.580951435317549,1.0,2.807354922057604,2.2857142857142856,0.0,0.1428571428367347,0.0,0.0,0.1428571428367347,0.4585129665048501
57,9,1,VERB,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.0968260467052459,6.804095650428369,1.0,3.169925001442312,2.0,0.0,0.1111111110987654,0.0,0.0,0.2222222221975308,0.623124911252256
58,17,1,VERB,0.1176470588235294,0.3529411764705882,0.7058823529411765,0.1454902291297912,6.61780863979222,1.0,4.08746284125034,1.8235294117647056,0.0,0.0588235294083045,0.0588235294083045,0.117647058816609,0.2941176470415225,0.5215175418474941
59,8,1,VERB,0.0,0.625,0.75,0.239927127957344,6.470033842151854,1.0,3.0,1.5,0.0,0.124999999984375,0.0,0.124999999984375,0.24999999996875,0.6165277082724759
60,10,1,VERB,0.2,0.3,0.5,0.2764946520328522,4.399190147822091,0.9,3.1219280948873624,3.1,0.1111111110987654,0.1111111110987654,0.0,0.0,0.4444444443950617,0.6279953131394367
61,5,1,NOUN,0.4,0.4,0.8,0.1425613015890121,7.263178006206306,1.0,2.321928094887362,2.8,0.0,0.19999999996,0.0,0.0,0.39999999992,0.611666870790032
62,12,1,VERB,0.25,0.25,0.5,0.2905980944633484,4.943065508046149,0.9166666666666666,3.4182958340544896,0.9166666666666666,0.0909090909008264,0.0909090909008264,0.0,0.0,0.3636363636033057,0.8077958011888184
